Restaurant Id,Restaurant Name,Country,City,User Rating Votes,User Aggregate Rating,Cuisines
18669432,HITCHKI,Thane,Thane,1899,4.8,"Modern Indian, North Indian, Chinese, Momos, American, Biryani, Continental, Fast Food"
18566818,JLWA,Mumbai,Mumbai,3101,4.7,"Modern Indian, European, Pizza"
48851,Rude Lounge,Mumbai,Mumbai,5003,4.4,"North Indian, Italian, Chinese, Continental, BBQ"
18205932,The Cult - Peninsula Grand Hotel,Mumbai,Mumbai,3142,4.5,"Continental, North Indian, Chinese"
18732598,Timess Square,Mumbai,Mumbai,2113,4.4,"Continental, Mexican, North Indian"
18580259,Coffee Culture,Mumbai,Mumbai,6023,4.2,"Cafe, Italian, Pizza, Continental, Beverages"
34757,Joey's Pizza,Mumbai,Mumbai,7344,4.6,Pizza
18522518,Vikhroli Social,Mumbai,Mumbai,1934,4.3,"American, North Indian, Chinese, Asian, Beverages, Continental, Biryani"
18917650,Warehouse Kitchenbar,Mumbai,Mumbai,666,4.5,"North Indian, Asian, Burmese, Chinese, Continental, Desserts"
35217,Joey's Pizza,Mumbai,Mumbai,8669,4.5,Pizza
18397684,Craftbar,Mumbai,Mumbai,1347,4.8,"Continental, Mediterranean, Modern Indian, Mexican"
36403,Prithvi Cafe,Mumbai,Mumbai,7995,4.4,"Cafe, Fast Food"
18691230,Grandmama's Café,Mumbai,Mumbai,1108,4.3,"Cafe, American, Italian, Parsi, Desserts"
58882,Byg Brewski Brewing Company,Bangalore,Bangalore,17394,4.9,"Continental, North Indian, Italian, South Indian, Finger Food"
18706428,Byg Brewski Brewing Company,Bangalore,Bangalore,5692,4.8,"Finger Food, Asian, Pizza, Italian, North Indian, Desserts"
18871246,ShakesBierre,Bangalore,Bangalore,572,4.5,"Asian, Continental, European, North Indian"
18772094,Bombay Adda,Bangalore,Bangalore,3023,4.3,Modern Indian
18578798,TBC Sky Lounge,Bangalore,Bangalore,7673,4.7,"Continental, Asian, Italian, North Indian"
18945224,Secret Of Bangalore,Bangalore,Bangalore,866,4.3,"North Indian, South Indian, Continental, Asian, Desserts"
18254597,Brew and Barbeque - A Microbrewery Pub,Bangalore,Bangalore,6330,4.6,"Continental, North Indian, BBQ, Steak"
18387426,The Black Pearl,Bangalore,Bangalore,7769,4.7,"North Indian, European, Mediterranean, BBQ"
57833,Big Pitcher,Bangalore,Bangalore,9664,4.6,"American, Continental, North Indian, Mediterranean"
54162,The Black Pearl,Bangalore,Bangalore,10892,4.8,"North Indian, European, Mediterranean"
18853706,Brahma Brews,Bangalore,Bangalore,610,4.3,"Continental, South Indian, Finger Food, Pizza, Seafood"
18625420,Burma Burma,Bangalore,Bangalore,1788,4.7,"Asian, Burmese"
18595782,The Pallet,Bangalore,Bangalore,3013,4.6,"Continental, Mediterranean, Italian, North Indian, Finger Food, Asian, Momos"
18537585,The Reservoire,Bangalore,Bangalore,2724,4.6,"Continental, North Indian, Chinese, American"
56618,AB's - Absolute Barbecues,Bangalore,Bangalore,12443,4.9,"European, Mediterranean, North Indian, BBQ"
51040,Truffles,Bangalore,Bangalore,14984,4.7,"Cafe, American, Burger, Steak"
18874059,The Pump House,Bangalore,Bangalore,1057,4.3,"Continental, Finger Food"
18709627,Simon Says Brew Works,Bangalore,Bangalore,2362,4.6,"Continental, American, Italian, Modern Indian, Pizza, Burger"
18727906,XOOX Brewmill,Bangalore,Bangalore,1782,4.5,"Modern Indian, European, Asian"
18642512,Stories,Bangalore,Bangalore,2636,4.6,"Continental, North Indian, Chinese"
18893197,FC Road Social,Pune,Pune,606,4.0,"Continental, American, Asian, North Indian, South Indian, European, Chinese, Fast Food"
18880433,BeHive,Pune,Pune,347,4.3,"North Indian, Chinese, Continental"
18715982,Flechazo,Pune,Pune,2927,4.7,"Asian, Mediterranean, North Indian"
18562250,Cafe Co2 Resto Lounge,Pune,Pune,1406,4.2,"North Indian, Chinese, Continental, Kebab, Seafood"
6508166,Flying Duck Co.,Pune,Pune,1266,4.5,"Asian, European"
18586395,Onesta,Pune,Pune,2770,4.8,"Pizza, Italian, Fast Food, Beverages, Desserts"
18732937,Darshan,Pune,Pune,1657,4.6,"Italian, Continental, Chinese, Mexican, Fast Food, Street Food, Desserts"
18784250,Universal Barbeque,Pune,Pune,1686,4.5,"BBQ, Chinese, North Indian, Beverages"
18740139,Grandmama's Cafe,Pune,Pune,1286,4.1,"Continental, Beverages, Desserts, Fast Food"
18545152,AB's - Absolute Barbecues,Pune,Pune,5225,4.8,"Continental, North Indian, Chinese"
18417624,The Sassy Spoon,Pune,Pune,1627,4.6,"European, Asian, Italian, Finger Food, Salad, Fast Food"
18383095,Teddy Boy,Pune,Pune,4547,4.2,"North Indian, Continental"
18621437,The FML Lounge,Pune,Pune,2059,4.1,"North Indian, Chinese, Continental, Finger Food"
18890430,The Barkhana,Pune,Pune,330,4.4,"North Indian, Continental"
18617201,Onesta,Pune,Pune,2168,4.7,"Pizza, Italian, Fast Food, Beverages, Desserts"
18650304,Tatva,Pune,Pune,2340,4.4,"North Indian, Chinese, Continental"
18657534,Viman Nagar Social,Pune,Pune,2352,4.5,"Continental, American, Asian, North Indian, South Indian, Chinese, European, Fast Food"
18536004,Culture - पुणे,Pune,Pune,2912,4.2,"Continental, North Indian, Italian, Mediterranean, European, Finger Food, Desserts"
6508323,The Urban Foundry,Pune,Pune,3369,4.6,"Asian, Indian"
18678581,Hippie@Heart,Pune,Pune,631,4.5,"Continental, Italian, North Indian, Finger Food, European"
90896,Bawarchi,Hyderabad,Hyderabad,41333,4.5,"Biryani, Hyderabadi, North Indian, Seafood"
18550292,Flechazo,Hyderabad,Hyderabad,7577,4.7,"Asian, Mediterranean, North Indian, Momos"
18312984,Sahib’s Barbeque by Ohri’s,Hyderabad,Hyderabad,5346,4.7,"Hyderabadi, Awadhi, BBQ"
18538735,Over The Moon Brew Company,Hyderabad,Hyderabad,2055,4.7,"Asian, Continental, North Indian, Chinese, Mediterranean"
18470497,84 Anjuna Shack,Hyderabad,Hyderabad,1779,4.1,"Cafe, Italian, French, Goan, Continental"
18207447,Shah Ghouse Hotel & Restaurant,Hyderabad,Hyderabad,11836,4.2,"Biryani, North Indian, Chinese"
18544039,The Roastery Coffee House,Hyderabad,Hyderabad,3258,4.8,"American, Cafe, Continental"
90499,Coffee Cup,Secunderabad,Secunderabad,3766,4.6,"Cafe, Continental, Salad"
18582430,Lucky Restaurant,Hyderabad,Hyderabad,10298,4.2,"Biryani, North Indian, Chinese"
18514668,Captain Cook,Hyderabad,Hyderabad,9076,3.9,"Biryani, North Indian, Chinese"
18715296,Bakasura Restaurant,Secunderabad,Secunderabad,651,4.0,"Andhra, South Indian, Chinese"
18673497,Onesta,Hyderabad,Hyderabad,2143,4.4,"Pizza, Italian, Fast Food, Beverages, Desserts"
95831,Green Bawarchi,Hyderabad,Hyderabad,6293,3.7,"North Indian, Chinese, Biryani"
18138652,Paradise,Hyderabad,Hyderabad,5781,4.5,"Biryani, North Indian, Chinese"
90903,Shah Ghouse Cafe & Restaurant,Hyderabad,Hyderabad,7309,4.3,"Biryani, North Indian, Chinese"
18807262,Broadway,Hyderabad,Hyderabad,827,4.6,"Continental, North Indian, Chinese"
18774025,eat.fit,Hyderabad,Hyderabad,621,4.4,"Healthy Food, North Indian, Continental, South Indian"
18965675,Chubby Cho,Hyderabad,Hyderabad,156,4.4,"Chinese, Asian, Sushi, Japanese"
18607685,Farzi Cafe,Hyderabad,Hyderabad,2046,4.7,Modern Indian
94402,4M Biryani House,Hyderabad,Hyderabad,4250,4.3,"Biryani, North Indian"
18938720,Coal Barbecues,Chennai,Chennai,1517,4.9,"North Indian, Mediterranean, Asian, Arabian, BBQ"
18800810,The Black Pearl,Chennai,Chennai,1435,4.6,"North Indian, European, Mediterranean, Continental, BBQ"
18595414,Coal Barbecues,Chennai,Chennai,5776,4.9,"North Indian, Mediterranean, Asian, Arabian, BBQ"
18513783,Onesta,Chennai,Chennai,4578,4.7,"Pizza, Italian, Fast Food, Beverages, Desserts"
70856,AB's - Absolute Barbecues,Chennai,Chennai,9774,4.9,"BBQ, North Indian, European, Mediterranean"
18423043,Dhaba Estd 1986 Delhi,Chennai,Chennai,1283,4.6,"North Indian, Desserts, Beverages"
67407,Copper Kitchen,Chennai,Chennai,3925,4.6,"Seafood, North Indian, Chinese, Mughlai, Biryani"
73279,Paradise,Chennai,Chennai,4642,4.4,"Biryani, North Indian, Chinese"
71443,Palmshore,Chennai,Chennai,3198,4.5,"Seafood, Biryani, Kebab, North Indian, Chinese, Arabian, BBQ, Juices"
18588039,Fromage,Chennai,Chennai,827,4.5,"Cafe, Italian, French, European"
72497,Palmshore,Chennai,Chennai,2742,4.6,"Seafood, Biryani, Kebab, North Indian, Chinese, Arabian, BBQ, Juices"
70496,Sukkubhai Biriyani,Chennai,Chennai,2113,4.4,Biryani
18665421,Blind Ch3mistry,Chennai,Chennai,1365,4.5,"Cafe, Fast Food, Beverages"
18666824,AB's - Absolute Barbecues,Chennai,Chennai,2208,4.9,"BBQ, North Indian, European, Mediterranean"
71405,Barbeque Nation,Chennai,Chennai,2132,4.8,"North Indian, Continental, Kebab, BBQ"
18555163,Amelie's,Chennai,Chennai,1217,4.4,"Cafe, Continental, Italian"
71799,Cleo's Grill & Cafe,Chennai,Chennai,2413,4.5,"Chinese, Continental, Steak, North Indian"
18437170,Nasi And Mee,Chennai,Chennai,1336,4.6,"Singaporean, Malaysian, Chinese, Asian, Thai, Momos"
18619095,Palmshore,Chennai,Chennai,1528,4.5,"Seafood, Biryani, Kebab, North Indian, Chinese, Arabian, BBQ, Juices"
18540650,Guntur Gongura,Chennai,Chennai,2086,3.7,"North Indian, Chinese, South Indian, Biryani"
800894,Mubeen's,Lucknow,Lucknow,1352,4.4,Mughlai
800468,Tunday Kababi,Lucknow,Lucknow,3753,4.8,"Mughlai, Lucknowi"
18801082,Farzi Café,Lucknow,Lucknow,298,4.6,Modern Indian
18970077,The Hazelnut Factory,Lucknow,Lucknow,203,4.4,"Bakery, Desserts, Cafe"
801170,Spice Caves,Lucknow,Lucknow,2401,4.6,"North Indian, Chinese, Mughlai"
18560184,The Terrace ,Lucknow,Lucknow,568,4.4,"North Indian, Continental"
18971277,Cafe Repertwahr,Lucknow,Lucknow,131,4.1,"North Indian, Chinese, Continental, Italian, Seafood, Salad"
800179,Mahalaxmi Sweets,Lucknow,Lucknow,1062,4.3,"Mithai, North Indian, Chinese"
18980427,Bombay Remix,Lucknow,Lucknow,113,4.0,"North Indian, Chinese, Continental, Desserts"
800089,Barbeque Nation,Lucknow,Lucknow,2194,4.9,North Indian
800152,Idrish Hotel,Lucknow,Lucknow,2180,4.4,Mughlai
801960,Dosa Planet,Lucknow,Lucknow,875,4.3,"South Indian, North Indian"
18701292,Pirates of Grill,Lucknow,Lucknow,1746,4.9,"North Indian, Mughlai, Continental"
800483,Dastarkhwan,Lucknow,Lucknow,2127,4.7,Mughlai
801146,Madhurima Veg,Lucknow,Lucknow,627,4.3,"Chinese, Sandwich, Fast Food, North Indian, Italian, Desserts, South Indian"
18387297,The Manish Eating Point,Lucknow,Lucknow,835,4.0,"North Indian, Awadhi, Biryani"
800432,Rattilal's,Lucknow,Lucknow,630,4.0,"Mithai, Street Food, Juices"
800896,Sardar Ji Ke Mashoor Chhole Bhature - Punjabi Zaika,Lucknow,Lucknow,692,4.1,Street Food
800630,Royal Cafe,Lucknow,Lucknow,990,4.3,"North Indian, Chinese, Mughlai, Fast Food"
18439027,Skyhilton,Lucknow,Lucknow,750,4.1,"North Indian, Chinese, Continental"
95361,Ifthar,Kochi,Kochi,770,4.1,Kerala
901159,Westleys Restocafe (Formerly Burgeria),Kochi,Kochi,262,4.1,"Fast Food, Ice Cream"
95256,Kashi Art Cafe,Kochi,Kochi,1256,4.5,"European, Cafe"
18398435,Bikash Babu Sweets,Kochi,Kochi,231,4.5,"Mithai, Fast Food"
903046,Nasi And Mee,Kochi,Kochi,235,4.8,"Malaysian, Thai, Singaporean, Asian, Chinese"
902109,Sheba Kuzhimandhi,Kochi,Kochi,516,4.2,Arabian
900533,Paragon,Kochi,Kochi,1475,4.5,"Kerala, South Indian, Continental, North Indian, Seafood, Chinese"
95421,Dhe Puttu,Kochi,Kochi,1162,4.3,Kerala
900668,KFC,Kochi,Kochi,507,3.7,"Burger, Fast Food"
900524,Cafe 17,Kochi,Kochi,900,4.6,"Cafe, Continental, Italian"
901622,The Grill Lab,Kochi,Kochi,639,4.2,"Cafe, Continental, Pizza, Burger, Fast Food"
